"","ID","Name","Lon","Lat","Location","day","daily_mean"
"63",81149,"ntsky",-105.154867,39.970945,"outside",2022-01-25,2.96604038888889
"64",81149,"ntsky",-105.154867,39.970945,"outside",2022-01-26,5.58300413888889
"65",81149,"ntsky",-105.154867,39.970945,"outside",2022-01-27,4.75500805555556
"66",81149,"ntsky",-105.154867,39.970945,"outside",2022-01-28,3.69304194444444
"67",81149,"ntsky",-105.154867,39.970945,"outside",2022-01-29,5.91091666666667
"68",81149,"ntsky",-105.154867,39.970945,"outside",2022-01-30,6.50432555555556
"69",81149,"ntsky",-105.154867,39.970945,"outside",2022-01-31,4.8163375
"70",81149,"ntsky",-105.154867,39.970945,"outside",2022-02-01,2.99979638888889
"71",81149,"ntsky",-105.154867,39.970945,"outside",2022-02-02,2.49077194444444
"72",81149,"ntsky",-105.154867,39.970945,"outside",2022-02-03,14.3875695277778
"73",81149,"ntsky",-105.154867,39.970945,"outside",2022-02-04,4.15345083333333
"74",81149,"ntsky",-105.154867,39.970945,"outside",2022-01-08,4.12740388888889
"75",81149,"ntsky",-105.154867,39.970945,"outside",2022-01-09,6.82348777777778
"76",81149,"ntsky",-105.154867,39.970945,"outside",2022-01-10,4.3479275
"77",81149,"ntsky",-105.154867,39.970945,"outside",2022-01-11,5.71632638888889
"78",81149,"ntsky",-105.154867,39.970945,"outside",2022-01-12,3.47973830555556
"79",81149,"ntsky",-105.154867,39.970945,"outside",2022-01-13,7.77811333333333
"80",81149,"ntsky",-105.154867,39.970945,"outside",2022-01-14,3.79594291666667
"81",81149,"ntsky",-105.154867,39.970945,"outside",2022-01-15,3.79523666666667
"82",81149,"ntsky",-105.154867,39.970945,"outside",2022-01-16,4.27051305555556
"83",81149,"ntsky",-105.154867,39.970945,"outside",2022-01-17,5.86087055555556
"84",81149,"ntsky",-105.154867,39.970945,"outside",2022-01-18,4.64749527777778
"85",85999,"Superior - North Pool",-105.155357,39.938975,"outside",2022-01-08,3.78838416666667
"86",85999,"Superior - North Pool",-105.155357,39.938975,"outside",2022-01-09,5.97276277777778
"87",85999,"Superior - North Pool",-105.155357,39.938975,"outside",2022-01-12,3.62625833333333
"88",85999,"Superior - North Pool",-105.155357,39.938975,"outside",2022-01-13,7.37463333333333
"89",85999,"Superior - North Pool",-105.155357,39.938975,"outside",2022-01-10,3.95575916666667
"90",85999,"Superior - North Pool",-105.155357,39.938975,"outside",2022-01-11,5.95180722222222
"91",85999,"Superior - North Pool",-105.155357,39.938975,"outside",2022-01-16,4.57714888888889
"92",85999,"Superior - North Pool",-105.155357,39.938975,"outside",2022-01-17,5.9507975
"93",85999,"Superior - North Pool",-105.155357,39.938975,"outside",2022-01-18,4.64462055555556
"94",85999,"Superior - North Pool",-105.155357,39.938975,"outside",2022-01-19,5.11552333333333
"95",85999,"Superior - North Pool",-105.155357,39.938975,"outside",2022-01-20,16.5456636111111
"96",85999,"Superior - North Pool",-105.155357,39.938975,"outside",2022-01-21,10.1062879166667
"97",85999,"Superior - North Pool",-105.155357,39.938975,"outside",2022-01-22,5.39205833333333
"98",85999,"Superior - North Pool",-105.155357,39.938975,"outside",2022-01-23,3.5261325
"99",85999,"Superior - North Pool",-105.155357,39.938975,"outside",2022-01-24,3.93127194444444
"100",85999,"Superior - North Pool",-105.155357,39.938975,"outside",2022-01-25,3.21330361111111
"101",85999,"Superior - North Pool",-105.155357,39.938975,"outside",2022-01-26,5.72198638888889
"102",85999,"Superior - North Pool",-105.155357,39.938975,"outside",2022-01-14,4.02636444444444
"103",85999,"Superior - North Pool",-105.155357,39.938975,"outside",2022-01-15,3.85183027777778
"104",85999,"Superior - North Pool",-105.155357,39.938975,"outside",2022-01-29,5.78113930555556
"105",85999,"Superior - North Pool",-105.155357,39.938975,"outside",2022-01-30,6.98665180555556
"106",85999,"Superior - North Pool",-105.155357,39.938975,"outside",2022-01-31,4.87887583333333
"107",85999,"Superior - North Pool",-105.155357,39.938975,"outside",2022-02-01,2.89532777777778
