Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Street_HouseNum,House_Number,Street_Name,Street_Name_clean,City,State,Status,JURISDICTION
"123 SKY VIEW CT, Louisville, CO",Street HouseNum: 123 SKY VIEW CT<br>House Number: 123<br>Street Name: SKY VIEW CT<br>Street Name clean: SKY VIEW CT<br>City: Louisville<br>State: CO<br>Status: Damaged<br>JURISDICTION: Louisville,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,123 SKY VIEW CT,123.0,SKY VIEW CT,SKY VIEW CT,Louisville,CO,Damaged,Louisville
"125 SKY VIEW CT, Louisville, CO",Street HouseNum: 125 SKY VIEW CT<br>House Number: 125<br>Street Name: SKY VIEW CT<br>Street Name clean: SKY VIEW CT<br>City: Louisville<br>State: CO<br>Status: Damaged<br>JURISDICTION: Louisville,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,125 SKY VIEW CT,125.0,SKY VIEW CT,SKY VIEW CT,Louisville,CO,Damaged,Louisville
"406 S 2ND AVE, Superior, CO",Street HouseNum: 406 S 2ND AVE<br>House Number: 406<br>Street Name: S 2ND AVE<br>Street Name clean: S 2ND AVE<br>City: Superior<br>State: CO<br>Status: Damaged<br>JURISDICTION: Superior,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,406 S 2ND AVE,406.0,S 2ND AVE,S 2ND AVE,Superior,CO,Damaged,Superior
"7210 EMPIRE DR , Boulder, CO",Street HouseNum: 7210 EMPIRE DR UNINCORPORATED<br>House Number: 7210<br>Street Name: EMPIRE DR UNINCORPORATED<br>Street Name clean: EMPIRE DR <br>City: Boulder<br>State: CO<br>Status: Damaged<br>JURISDICTION: Unincorporated Boulder County,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,7210 EMPIRE DR UNINCORPORATED,7210.0,EMPIRE DR UNINCORPORATED,EMPIRE DR ,Boulder,CO,Damaged,Unincorporated Boulder County
"7487 EMPIRE DR , Boulder, CO",Street HouseNum: 7487 EMPIRE DR UNINCORPORATED<br>House Number: 7487<br>Street Name: EMPIRE DR UNINCORPORATED<br>Street Name clean: EMPIRE DR <br>City: Boulder<br>State: CO<br>Status: Damaged<br>JURISDICTION: Unincorporated Boulder County,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,7487 EMPIRE DR UNINCORPORATED,7487.0,EMPIRE DR UNINCORPORATED,EMPIRE DR ,Boulder,CO,Damaged,Unincorporated Boulder County
"1223 S CHERRYVALE RD , Boulder, CO",Street HouseNum: 1223 S CHERRYVALE RD UNINCORPORATED<br>House Number: 1223<br>Street Name: S CHERRYVALE RD UNINCORPORATED<br>Street Name clean: S CHERRYVALE RD <br>City: Boulder<br>State: CO<br>Status: Damaged<br>JURISDICTION: Unincorporated Boulder County,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,1223 S CHERRYVALE RD UNINCORPORATED,1223.0,S CHERRYVALE RD UNINCORPORATED,S CHERRYVALE RD ,Boulder,CO,Damaged,Unincorporated Boulder County
